Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1520373600.0 136.808 NA 70 NA NA NA 144 NA NA NA 1184 NA NA NA 1460 NA NA
1520373600.0 136.809 NA 73 NA NA NA 146 NA NA NA 1505 NA NA NA 2342 NA NA
1520373600.0 136.81 NA 69 NA NA NA 143 NA NA NA 1175 NA NA NA 1464 NA NA
1520373600.0 136.811 NA 68 NA NA NA 141 NA NA NA 1302 NA NA NA 1542 NA NA
1520373600.0 136.812 NA 70 NA NA NA 145 NA NA NA 1170 NA NA NA 1389 NA NA
1520373600.0 136.813 NA 71 NA NA NA 145 NA NA NA 1097 NA NA NA 1366 NA NA
1520373600.0 136.814 NA 70 NA NA NA 144 NA NA NA 1560 NA NA NA 2116 NA NA
1520373600.0 136.815 NA 74 NA NA NA 149 NA NA NA 1367 NA NA NA 1675 NA NA
1520373600.0 136.816 NA 73 NA NA NA 143 NA NA NA 1426 NA NA NA 1815 NA NA
1520373600.0 136.817 NA 67 NA NA NA 142 NA NA NA 1208 NA NA NA 1457 NA NA
1520373600.0 136.818 NA 68 NA NA NA 144 NA NA NA 1600 NA NA NA 1849 NA NA
1520373600.0 136.819 NA 71 NA NA NA 140 NA NA NA 1307 NA NA NA 1552 NA NA
1520373600.0 136.82 NA 71 NA NA NA 143 NA NA NA 1290 NA NA NA 1564 NA NA
1520373600.0 136.821 NA 66 NA NA NA 142 NA NA NA 1550 NA NA NA 1836 NA NA
1520373600.0 136.822 NA 66 NA NA NA 139 NA NA NA 1310 NA NA NA 1903 NA NA
1520373600.0 136.823 NA 76 NA NA NA 140 NA NA NA 1372 NA NA NA 1622 NA NA
1520373600.0 136.824 NA 69 NA NA NA 143 NA NA NA 1293 NA NA NA 1537 NA NA
1520373600.0 136.825 NA 70 NA NA NA 144 NA NA NA 1127 NA NA NA 1423 NA NA
1520373600.0 136.826 NA 78 NA NA NA 144 NA NA NA 1649 NA NA NA 2746 NA NA
1520373600.0 136.827 NA 71 NA NA NA 147 NA NA NA 1261 NA NA NA 1684 NA NA
1520373600.0 136.828 NA 71 NA NA NA 144 NA NA NA 1472 NA NA NA 1780 NA NA
1520373600.0 136.829 NA 67 NA NA NA 141 NA NA NA 1234 NA NA NA 1506 NA NA
1520373600.0 136.83 NA 76 NA NA NA 143 NA NA NA 1598 NA NA NA 2589 NA NA
1520373600.0 136.831 NA 69 NA NA NA 143 NA NA NA 1360 NA NA NA 1653 NA NA
1520373600.0 136.832 NA 68 NA NA NA 141 NA NA NA 1376 NA NA NA 1610 NA NA
1520373600.0 136.833 NA 80 NA NA NA 144 NA NA NA 1468 NA NA NA 2627 NA NA
1520373600.0 136.834 NA 68 NA NA NA 141 NA NA NA 1228 NA NA NA 1445 NA NA
1520373600.0 136.835 NA 68 NA NA NA 141 NA NA NA 1515 NA NA NA 1791 NA NA
1520373600.0 136.836 NA 73 NA NA NA 144 NA NA NA 1384 NA NA NA 1638 NA NA
1520373600.0 136.837 NA 71 NA NA NA 144 NA NA NA 1286 NA NA NA 1853 NA NA
1520373600.0 136.838 NA 78 NA NA NA 145 NA NA NA 1746 NA NA NA 2680 NA NA
1520373600.0 136.839 NA 76 NA NA NA 153 NA NA NA 1308 NA NA NA 1565 NA NA
1520373600.0 136.84 NA 71 NA NA NA 147 NA NA NA 1372 NA NA NA 1689 NA NA
1520373600.0 136.841 NA 72 NA NA NA 147 NA NA NA 1281 NA NA NA 1508 NA NA
1520373600.0 136.842 NA 73 NA NA NA 145 NA NA NA 1426 NA NA NA 1707 NA NA
1520373600.0 136.843 NA 69 NA NA NA 144 NA NA NA 1403 NA NA NA 1646 NA NA
1520373600.0 1360.0 0 NA NA NA 0 NA NA NA 1452 NA NA NA 2660 NA NA NA
1520373600.0 1361.0 0 NA NA NA 0 NA NA NA 1045 NA NA NA 1369 NA NA NA
1520373600.0 1361.17 0 NA NA NA 0 NA NA NA 1058 NA NA NA 1391 NA NA NA
1520373600.0 1362.0 0 NA NA NA 0 NA NA NA 1053 NA NA NA 1374 NA NA NA
1520373600.0 1362.17 0 NA NA NA 0 NA NA NA 1089 NA NA NA 1335 NA NA NA
1520373600.0 1363.0 0 NA NA NA 0 NA NA NA 1043 NA NA NA 2315 NA NA NA
1520373600.0 1363.17 0 NA NA NA 0 NA NA NA 1062 NA NA NA 1391 NA NA NA
1520373600.0 1364.0 NA 99 NA NA NA 163 NA NA NA 890 NA NA NA 1089 NA NA
1520373600.0 1365.0 NA 90 NA NA NA 165 NA NA NA 952 NA NA NA 1162 NA NA
1520373600.0 1366.0 NA 101 NA NA NA 163 NA NA NA 908 NA NA NA 1114 NA NA
1520373600.0 14.0 NA 98 NA NA NA 173 NA NA NA 5154 NA NA NA 5809 NA NA
1520373600.0 140.0 77 83 193 0 124 119 225 0 8414 660 1351 445 10090 1050 1427 475
1520373600.0 140.51 NA 44 180 0 NA 100 224 0 NA 1445 3770 681 NA 2831 4803 745
1520373600.0 140.52 NA 189 180 0 NA 273 219 0 NA 4661 3807 590 NA 5372 4251 629
1520373600.0 140.53 NA 219 0 NA NA 306 0 NA NA 8754 663 NA NA 9609 704 NA
1520373600.0 145.0 75 83 178 0 116 122 225 0 5829 748 1609 524 7025 1284 1836 783
1520373600.0 148.0 57 100 NA NA 94 124 NA NA 1474 518 NA NA 2446 690 NA NA
1520373600.0 149.0 58 102 NA NA 101 128 NA NA 2594 648 NA NA 3223 852 NA NA
1520373600.0 15.0 NA 74 NA NA NA 149 NA NA NA 3101 NA NA NA 3417 NA NA
1520373600.0 150.0 71 104 217 0 111 138 261 0 6523 767 1773 883 7764 990 1918 913
1520373600.0 150.1 NA 93 203 0 NA 170 250 0 NA 702 1783 919 NA 953 2037 953
1520373600.0 150.2 NA 88 204 0 NA 168 249 0 NA 667 1754 906 NA 890 1971 939
1520373600.0 150.3 NA 88 204 0 NA 170 249 0 NA 681 1746 922 NA 921 1998 952
1520373600.0 158.0 71 109 NA NA 111 137 NA NA 6555 694 NA NA 7679 895 NA NA
1520373600.0 16.0 NA 88 NA NA NA 163 NA NA NA 3358 NA NA NA 3743 NA NA
1520373600.0 17.0 NA 83 NA NA NA 159 NA NA NA 3115 NA NA NA 3418 NA NA
1520373600.0 18.0 NA 72 NA NA NA 149 NA NA NA 3167 NA NA NA 3455 NA NA
1520373600.0 19.0 NA 72 NA NA NA 149 NA NA NA 3094 NA NA NA 3369 NA NA
1520373600.0 20.0 NA 75 NA NA NA 151 NA NA NA 3205 NA NA NA 3520 NA NA
1520373600.0 200.0 NA 109 NA NA NA 182 NA NA NA 1759 NA NA NA 3180 NA NA
1520373600.0 20034.0 80 169 NA NA 113 212 NA NA 12612 4478 NA NA 15050 4742 NA NA
1520373600.0 20034.1 80 169 NA NA 113 212 NA NA 12575 4443 NA NA 14996 4887 NA NA
1520373600.0 20034.11 86 172 NA NA 119 214 NA NA 12719 4454 NA NA 15167 4890 NA NA
1520373600.0 202.0 NA 101 NA NA NA 179 NA NA NA 1814 NA NA NA 2772 NA NA
1520373600.0 203.0 NA 107 NA NA NA 177 NA NA NA 1933 NA NA NA 3410 NA NA
1520373600.0 204.0 63 99 NA NA 115 174 NA NA 8549 1598 NA NA 10035 1708 NA NA
1520373600.0 20434.0 86 177 NA NA 119 220 NA NA 13167 4457 NA NA 15585 4914 NA NA
1520373600.0 205.0 NA 103 NA NA NA 179 NA NA NA 1968 NA NA NA 3435 NA NA
1520373600.0 21.0 NA 76 NA NA NA 152 NA NA NA 3272 NA NA NA 3674 NA NA
1520373600.0 21234.0 79 166 NA NA 113 212 NA NA 12389 4498 NA NA 14200 5062 NA NA
1520373600.0 21234.11 85 167 NA NA 119 214 NA NA 12571 4599 NA NA 14481 4918 NA NA
1520373600.0 22.0 NA 88 NA NA NA 163 NA NA NA 3476 NA NA NA 3891 NA NA
1520373600.0 23.0 NA 98 NA NA NA 174 NA NA NA 4573 NA NA NA 5217 NA NA
1520373600.0 24.0 NA 84 NA NA NA 159 NA NA NA 4516 NA NA NA 5380 NA NA
